event_date,end_date,duration_days,exit_reason,stitched_trigger_count,first_trigger_date,last_trigger_date,episode_bridge_days,stability_days_required,market_return,worst_trigger_date,worst_trigger_market_return,apc,peak_apc_date,peak_trigger_apc,apc_threshold,apc_window,apc_n_names,frac_down,frac_down_threshold,coverage,coverage_floor,vol_percentile,event_severity
1965-09-23,1965-10-05,8,apc_and_market_normalized,1,1965-09-23,1965-09-23,29,4,-0.008969464983638839,1965-09-23,-0.008969464983638839,0.2123014233902889,1965-09-23,0.2123014233902889,0.21008220287626866,95,30,0.7666666666666667,0.5,30,30.0,0.34514285714285714,0.9598436389481165
1966-09-21,1966-10-04,9,apc_and_market_normalized,2,1966-09-21,1966-10-03,26,1,-0.0218627405943115,1966-09-21,-0.0218627405943115,0.3591604510297717,1966-09-21,0.3591604510297717,0.3534432462315574,43,31,0.8387096774193549,0.5666666666666667,31,30.0,0.911190053285968,0.9907286821107167
1966-11-17,1967-03-08,75,apc_and_market_normalized,8,1966-11-17,1967-02-13,30,7,-0.010357465329132105,1966-11-21,-0.014596145155670344,0.2894183931981938,1966-11-21,0.2909849506983552,0.21993128531641362,84,31,0.8064516129032258,0.5,31,30.0,0.4588336192109777,0.9820723892048019
1969-10-29,1969-12-15,32,apc_and_market_normalized,3,1969-10-29,1969-11-13,30,5,-0.007054403282649088,1969-11-13,-0.009312910016687269,0.2060460340045245,1969-10-29,0.2060460340045245,0.20601762303153445,88,31,0.7096774193548387,0.5,31,30.0,0.41245343267695583,0.9522487877366362
1970-05-11,1971-01-13,172,apc_and_market_normalized,31,1970-05-11,1971-01-04,30,7,-0.01793902107110002,1970-05-25,-0.035236330591211645,0.30556367962895314,1970-06-11,0.4910757210389861,0.29862940720755177,43,31,0.7096774193548387,0.6,31,30.0,0.9165009940357853,0.9973092750870528
1971-10-14,1972-04-03,118,apc_and_market_normalized,17,1971-10-14,1972-03-21,30,6,-0.008717472981321906,1971-11-01,-0.01579177708264298,0.2570413099569128,1971-11-10,0.27925064788378173,0.20603778395671926,96,31,0.8064516129032258,0.5,31,30.0,0.33052631578947367,0.9688274214829867
1978-12-18,1979-04-25,88,apc_and_market_normalized,8,1978-12-18,1979-04-11,30,7,-0.022269375626711302,1978-12-18,-0.022269375626711302,0.208545806487286,1979-01-16,0.20870388750117966,0.20721268395469558,68,124,0.7835051546391752,0.5,194,30.0,0.6345832338189634,0.9584865625355201
1979-12-18,1979-12-24,4,apc_and_market_normalized,1,1979-12-18,1979-12-18,29,4,-0.007237799425937803,1979-12-18,-0.007237799425937803,0.17649652400287083,1979-12-18,0.17649652400287083,0.17631746520111033,96,123,0.5151515151515151,0.45161290322580644,198,31.0,0.3286036036036036,0.8350914027912361
1980-06-19,1980-07-10,14,apc_and_market_normalized,1,1980-06-19,1980-06-19,20,7,-0.005197587236111686,1980-06-19,-0.005197587236111686,0.16175777162005006,1980-06-19,0.16175777162005006,0.15756731618831027,123,123,0.46511627906976744,0.41379310344827586,473,31.0,0.029559886139697834,0.7944820827453135
1987-10-19,1988-06-02,157,apc_and_market_normalized,32,1987-10-19,1988-05-18,29,7,-0.13662570708658406,1987-10-19,-0.13662570708658406,0.4077792188781725,1987-10-26,0.4270822714185488,0.2418294173307556,36,124,0.9259723964868256,0.5161290322580645,797,31.0,0.9931464174454828,0.9972466420351268
