event_date,end_date,duration_days,exit_reason,stitched_trigger_count,market_return,worst_trigger_market_return,apc,peak_trigger_apc,apc_threshold,event_severity,eligible_count,adaptive_portfolio_size,adaptive_trade_horizon_days,mean_episode_risk_budget,mean_return_pct,median_return_pct,trimmed_mean_return_pct,p05_return_pct,p95_return_pct,std_return_pct,mean_deployed_return_pct,median_deployed_return_pct,mean_return_on_budget_pct,win_rate,deployment_rate,mean_invested,mean_raw_gross_pnl,mean_net_pnl,mean_capped_pnl_reduction,mean_lot_return_caps,total_lot_return_caps,mean_transaction_cost,mean_hold_days,local_normalization_exits,adaptive_horizon_exits,episode_end_exits,n_simulations,headline_return_pct,raw_mean_return_pct,event_sharpe
1965-09-23,1965-10-05,8,apc_and_market_normalized,1,-0.008969464983638839,-0.008969464983638839,0.2123014233902889,0.2123014233902889,0.21008220287626866,0.9598436389481165,30,10,38.0,14.598436389481165,0.02178465101897439,0.010932487821873834,0.01610247169837117,-0.29700620028525265,0.38187180494444806,0.20940413519973736,0.020051279838100695,0.017471349030234458,0.02178465101897439,0.52,1.0,10.001066241283585,0.023270010078053745,0.003267877595486575,0.0,0.0,0,0.02000213248256717,2.263258853806045,3168,0,334,500,0.01610247169837117,0.02178465101897439,0.10403161808717573
1966-09-21,1966-10-04,9,apc_and_market_normalized,2,-0.0218627405943115,-0.0218627405943115,0.3591604510297717,0.3591604510297717,0.3534432462315574,0.9907286821107167,30,10,20.0,21.08208720059546,0.1970629570621478,0.17111179863263415,0.19487771333212453,-0.31452548900296295,0.7352919054251907,0.32007767013008936,0.33792646233779794,0.38972308784802256,0.1970629570621478,0.724,1.0,10.94434778564765,0.06344071661773756,0.04155202104644226,0.0,0.0,0,0.021888695571295302,1.2165228104346089,4079,0,0,500,0.19487771333212453,0.1970629570621478,0.6156723053565573
1966-11-17,1967-03-08,75,apc_and_market_normalized,8,-0.010357465329132105,-0.014596145155670344,0.2894183931981938,0.2909849506983552,0.21993128531641362,0.9820723892048019,31,10,21.0,52.931156757314355,2.7967500129585248,2.719413010144474,2.769187785643055,1.2141343005859762,4.553530750359804,1.0130152610212428,4.016261358570654,3.8805719776211998,2.7967500129585248,1.0,1.0,37.434198275780474,1.6714371327006927,1.4815418014685597,0.11502693468057201,2.32,1160,0.07486839655156095,21.46314930363205,778,10817,0,500,2.769187785643055,2.7967500129585248,2.7608172557430772
1969-10-29,1969-12-15,32,apc_and_market_normalized,3,-0.007054403282649088,-0.009312910016687269,0.2060460340045245,0.2060460340045245,0.20601762303153445,0.9522487877366362,31,10,23.0,25.153686855901636,-1.950102988651708,-1.91684070426163,-1.9467435678222282,-3.689926450940201,-0.24036489688275964,1.046006787350105,-1.950102988651708,-1.91684070426163,-1.950102988651708,0.024,1.0,45.95947258089338,-0.8395834473862646,-0.9372393473420781,0.005736954794026909,0.34,170,0.09191894516178675,8.370318600778441,13266,1412,594,500,-1.9467435678222282,-1.950102988651708,-1.8643311039998025
1970-05-11,1971-01-13,172,apc_and_market_normalized,31,-0.01793902107110002,-0.035236330591211645,0.30556367962895314,0.4910757210389861,0.29862940720755177,0.9973092750870528,31,10,26.0,99.05276742883579,0.6493766267113966,0.6422206218187919,0.6552409538697068,-0.21089660705705374,1.4589261178657773,0.533126622609925,1.1339514963476622,1.123221288990226,0.6493766267113966,0.894,1.0,57.04896905081909,0.8585698200894043,0.6432255197936589,0.1012463621941072,1.332,666,0.11409793810163818,11.311115490308994,11383,7093,0,500,0.6552409538697068,0.6493766267113966,1.2180532713454992
1971-10-14,1972-04-03,118,apc_and_market_normalized,17,-0.008717472981321906,-0.01579177708264298,0.2570413099569128,0.27925064788378173,0.20603778395671926,0.9688274214829867,31,10,41.0,60.56130604577985,3.0943352948865943,3.0694983514752536,3.0704400829411065,1.5010077893790523,4.836762026643882,1.0021933057418377,3.915471575777685,4.037838220349974,3.0943352948865943,1.0,1.0,49.70239909515087,2.0262040619074018,1.8923018324829266,0.03449743123417342,1.36,680,0.09940479819030174,21.878386509456888,16326,636,0,500,3.0704400829411065,3.0943352948865943,3.08756332451864
1978-12-18,1979-04-25,88,apc_and_market_normalized,8,-0.022269375626711302,-0.022269375626711302,0.208545806487286,0.20870388750117966,0.20721268395469558,0.9584865625355201,184,24,48.0,99.0053509092791,2.7431070947252474,2.6399434030640165,2.6910143090648986,1.0685745156344697,4.840495949532313,1.106272593941773,3.202462933832982,3.031382735307419,2.7431070947252474,1.0,1.0,88.26843027578735,2.9407939191624872,2.749032935507925,0.015224123102987493,0.376,188,0.1765368605515747,38.33318181619221,15255,12675,510,500,2.6910143090648986,2.7431070947252474,2.4795941884009345
1979-12-18,1979-12-24,4,apc_and_market_normalized,1,-0.007237799425937803,-0.007237799425937803,0.17649652400287083,0.17649652400287083,0.17631746520111033,0.8350914027912361,190,21,58.0,28.03691945861596,0.05376214364242724,0.04025774859689721,0.05245280374752552,-0.18536196589590093,0.3112891363260622,0.15266376021184352,0.1828770611551468,0.15587352364215457,0.05376214364242724,0.624,0.996,7.892423734670403,0.03085809638159355,0.015073248912252745,0.0,0.0,0,0.015784847469340807,1.7681962221528744,0,0,2783,500,0.05245280374752552,0.05376214364242724,0.3521604837181026
1980-06-19,1980-07-10,14,apc_and_market_normalized,1,-0.005197587236111686,-0.005197587236111686,0.16175777162005006,0.16175777162005006,0.15756731618831027,0.7944820827453135,448,31,34.0,40.12894456510473,1.5273276374802125,1.52620068638079,1.5108077867006424,0.2621933444533919,2.926292768041708,0.7687227868991174,2.7175806051985294,2.6105049564182954,1.5273276374802125,0.984,1.0,23.20616960923917,0.6799968317480003,0.6129271309616633,0.02065736156785874,0.7,350,0.046412339218478336,7.805443195508015,5738,0,2331,500,1.5108077867006424,1.5273276374802125,1.9868379908980762
1987-10-19,1988-06-02,157,apc_and_market_normalized,32,-0.13662570708658406,-0.13662570708658406,0.4077792188781725,0.4270822714185488,0.2418294173307556,0.9972466420351268,709,51,26.0,461.09437933751,4.383617109806898,4.488502236194491,4.444784638017198,1.8481207329952496,6.538958566005355,1.4902099356057397,7.744062455538788,7.821138144349229,4.383617109806898,0.992,1.0,268.59814143423205,21.213183682037624,20.212612104997014,0.46337529417214407,1.276,638,0.5371962828684641,42.3399302580663,2607,66820,290,500,4.444784638017198,4.383617109806898,2.941610443648698
