event_date,market_return,apc,end_date,duration_days,mean_return_pct,std_return_pct,win_rate,median_return,mean_invested,mean_hold_days,n_simulations,sharpe_ratio
1981-07-02,-0.0077416894384215946,0.13760151303855403,1981-07-14,7,0.5933696226789624,2.3521062162738757,0.34,0.0,0.6802701063771424,7.0,200,0.25227161025872286
1981-07-20,-0.013075455570520651,0.13494962115627965,1981-07-29,7,0.6820523718637947,2.437302792758326,0.33,0.0,0.35878034306688017,7.0,200,0.27983899821158764
1981-08-18,-0.01070651284019748,0.14204892200822755,1981-09-01,10,-0.8074264091878246,3.778406331039497,0.31,-0.571964677062271,3.247785385634663,10.0,200,-0.21369496513777259
1981-09-03,-0.014607334325677073,0.14620916141198337,1982-01-04,83,9.853642197018212,8.600161530081069,0.925,8.412431081955043,11.257064292389595,83.0,200,1.1457508283481423
1982-01-11,-0.01667115796925796,0.17239828354852701,1982-01-12,1,0.0,0.0,0.0,0.0,0.0,1.0,200,
1982-06-14,-0.0080936769256867,0.16129141148409318,1982-06-15,1,0.0,0.0,0.0,0.0,0.0,1.0,200,
1982-06-17,-0.01048945350362044,0.16171598671671494,1982-06-25,6,0.8073244941981969,2.47451787902762,0.215,0.0,0.12019760008195687,6.0,200,0.3262552681637689
1982-10-25,-0.02321413248658545,0.2352097536277299,1982-12-02,27,3.6258840911449237,8.015347916429116,0.585,1.2807318252899367,1.0692818812557388,27.0,200,0.4523676487845179
1982-12-15,-0.01606303789323972,0.19098747097085272,1983-04-04,75,11.993124658225415,15.528559004732745,0.855,8.784319624525068,4.913363111562837,75.0,200,0.7723269528466994
1986-01-09,-0.012363664572368063,0.13563214877583624,1986-01-30,15,1.02716019150594,11.074121917868412,0.32,0.0,0.40894909425725745,15.0,200,0.09275319516291289
1986-09-12,-0.015498189163323963,0.12366573411503187,1986-10-01,13,0.9581644998313499,4.314799067435553,0.295,0.0,0.18593866539719126,13.0,200,0.22206468594627352
1987-04-14,-0.024404433785249955,0.1400985609223188,1987-07-10,60,6.110297859596862,8.877641788759671,0.76,4.889689535220487,3.0356588043053425,60.0,200,0.688279388264274
1987-10-15,-0.01505870663434717,0.12195515036773252,1988-03-08,99,18.606588555357217,8.981435200817387,0.995,17.878243335972776,56.19151633172201,99.0,200,2.0716720812798224
1988-10-27,-0.00868297734364848,0.15572254638585292,1988-11-29,22,1.0862277648595509,5.018673849049511,0.545,0.5125302402320313,1.7476723204096374,22.0,200,0.2164372098149538
1989-10-13,-0.03244121485756904,0.12504232411959867,1989-10-18,3,2.2377219822881314,12.800129870161287,0.265,0.0,0.5392777757080213,3.0,200,0.1748202561213494
1989-10-24,-0.010218860548633954,0.1248310831556016,1989-11-14,15,1.7881725407033053,4.790745580175217,0.445,0.0,0.44499033228842144,15.0,200,0.37325558428796896
1989-12-18,-0.012710127171761086,0.1390466486488178,1990-04-10,78,3.730793780302124,8.18049802575535,0.675,2.1247977155988176,7.636015377784325,78.0,200,0.4560594927785756
1990-08-23,-0.03126445886924078,0.12822040844305507,1990-11-01,49,-0.7703976233886979,9.674615609892884,0.465,-0.453702328589656,4.171605792679292,49.0,200,-0.07963082508424618
1991-10-03,-0.007960918704815287,0.14786769164922386,1991-10-17,10,2.366396832358001,6.490982009216388,0.36,0.0,0.4842149262726969,10.0,200,0.36456684504717646
1996-05-02,-0.006947060508443363,0.11421092274229273,1996-06-04,22,14.368703655324127,70.09866283379348,0.395,0.0,0.564132245576204,22.0,200,0.20497828452723632
1997-10-27,-0.05309580138673403,0.1357578567609475,1998-01-23,60,5.336050865373253,24.51054555186606,0.62,2.7203954865180773,3.08848399063155,60.0,200,0.21770428789852064
1998-07-31,-0.012824293248777959,0.10466582613861655,1998-11-24,81,19.106114364981373,12.27859715914966,0.985,17.647474260279267,23.32993457643057,81.0,200,1.5560502651350558
2000-11-28,-0.0154290828183736,0.09762037444695544,2000-12-01,3,1.8913294566893026,5.543861261903581,0.255,0.0,0.2891063926060806,3.0,200,0.3411574293329054
2001-09-20,-0.03139709381686109,0.10179100415370049,2001-12-11,57,29.441183738585195,144.3126928038778,0.89,14.867468422774188,3.805401255957098,57.0,200,0.20400966239744425
2003-03-10,-0.013100718739456832,0.10562935477475217,2003-04-15,26,7.56687136258498,15.419359965591422,0.7,4.831805577063228,1.2111875691810843,26.0,200,0.49073835616203193
2003-07-17,-0.013930097746110058,0.10351428967491966,2003-07-29,8,0.8447830461395455,5.031388881325916,0.305,0.0,0.32050835127490823,8.0,200,0.16790255455605346
2003-08-15,-0.012752809826216028,0.09291804370172435,2003-08-18,1,0.0,0.0,0.0,0.0,0.0,1.0,200,
2004-04-28,-0.01519746517438256,0.09583779672340172,2004-09-13,94,9.828512974874622,39.80342608622858,0.81,6.590437160022764,10.438222313513801,94.0,200,0.2469263061321032
2005-10-12,-0.012782609570270803,0.09440576620700607,2005-10-17,3,0.3200715074014318,1.2030637414342973,0.245,0.0,0.1674651090087529,3.0,200,0.26604700680268306
2006-06-13,-0.017665267112697877,0.09783887270637491,2006-10-27,96,13.927387777426054,47.595511461590974,0.845,9.484993129705005,5.851847406982801,96.0,200,0.2926197733722285
2007-01-25,-0.009496973559321716,0.09293173983776241,2007-02-26,21,5.422936037620613,56.75738383893823,0.43,0.0,0.6319408301884906,21.0,200,0.09554591263419411
2007-02-27,-0.031130979005566464,0.11261724249219449,2008-02-21,248,-3.3663831153782815,18.611085847664768,0.25,-6.329845640557615,51.480309663988976,248.0,200,-0.18088053233071727
2008-02-29,-0.017592442778999857,0.09528297306087428,2008-03-04,2,0.10533388433142528,1.5251942792034052,0.045,0.0,0.013463416091411117,2.0,200,0.06906260124870137
2008-03-14,-0.01604640291814381,0.09522574034230274,2008-06-16,64,6.3062519112054165,16.47709614372812,0.665,2.926579529043545,4.708185917506725,64.0,200,0.3827283555425416
2008-06-20,-0.014445983146334562,0.10348926428151796,2008-06-25,3,0.28004249060245123,1.6388197511423956,0.17,0.0,0.13862053540073213,3.0,200,0.17088059282128984
2008-06-26,-0.01864564395967688,0.09991690575220591,2008-07-07,6,0.9467166819029064,10.19115277031526,0.28,0.0,0.7004992543269016,6.0,200,0.09289593662657065
2008-07-24,-0.018343196039287305,0.09655587832801252,2008-07-28,2,-0.0021609681731145124,2.065597756227592,0.03,0.0,0.01974925319111927,2.0,200,-0.0010461708561598632
2008-09-15,-0.03988063749895805,0.11180651161294075,2011-01-13,588,136.72405188024672,255.06152186232973,1.0,94.63340757752461,56.3850279339519,588.0,200,0.5360434254526403
2011-01-19,-0.012280781691691665,0.1084886104377845,2011-01-24,3,0.6369088227995671,3.4077864809016427,0.115,0.0,0.0917900414272482,3.0,200,0.1868981012657377
2011-01-28,-0.013815814115186535,0.1155811224890629,2011-02-09,8,1.6594562848358185,6.033567376520789,0.225,0.0,0.17880501132663373,8.0,200,0.27503733384887324
2011-03-10,-0.01642048608405413,0.11409110418009782,2012-03-13,254,24.968297236239554,35.35040117283699,0.98,18.57422079021962,57.28539117582519,254.0,200,0.7063087378885258
2012-05-03,-0.01117411748753264,0.11271154153351594,2012-05-07,2,0.08684397788370539,0.9412934024736045,0.11,0.0,0.14616234648244983,2.0,200,0.09226026407440016
2012-05-17,-0.014646992051921983,0.11889738432647834,2012-09-17,84,15.018389343044596,22.981973893899553,0.875,11.401044714925064,7.458401516139381,84.0,200,0.6534856149597816
2013-02-25,-0.013490460593356015,0.11767262613433516,2013-03-28,23,6.511695213477197,33.24444902405889,0.52,0.3615143300154542,0.44971767860202255,23.0,200,0.19587315791471555
2013-04-15,-0.024874239695666992,0.11160973940574492,2013-05-01,12,9.097102311908564,47.478311022370505,0.43,0.0,0.5609439362026436,12.0,200,0.19160543237568528
2013-06-20,-0.021223988688176414,0.13983786417684074,2013-07-12,15,7.51891490790078,17.971458314177635,0.675,2.96499428494199,1.2164695114606092,15.0,200,0.41838090022828744
