date,market_return,coverage,frac_down,fast_market_vol,slow_market_vol,vol_ratio,vol_percentile,apc_window,apc,apc_n_names,apc_threshold_quantile,market_tail_quantile,breadth_quantile,coverage_quantile,apc_threshold,market_return_threshold,frac_down_threshold,coverage_floor,apc_excess,apc_excess_percentile,market_stress_percentile,breadth_percentile,event_severity,drop_z_threshold,adaptive_trade_horizon_days,adaptive_daily_lot_log_return_cap
1962-01-02,,,,,,,,,,,,,,,,,,,,,,,,,63,
1962-01-03,-0.0006323320099663654,29.0,0.5517241379310345,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-04,-0.004622097845521618,29.0,0.6551724137931034,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-05,-0.013979043450600642,29.0,0.7931034482758621,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-08,-0.006512201981967493,29.0,0.6551724137931034,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-09,0.00095326950774612,29.0,0.3793103448275862,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-10,0.002236328019116088,29.0,0.3448275862068966,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-11,0.005802660181188822,29.0,0.3448275862068966,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-12,0.0005019833275920736,29.0,0.41379310344827586,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-15,-0.005858322713086111,29.0,0.6206896551724138,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-16,-0.006522553719098589,29.0,0.6551724137931034,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-17,-0.009622832756175783,29.0,0.7586206896551724,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-18,0.0011284576687113598,29.0,0.3103448275862069,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-19,0.006983486340006837,29.0,0.3448275862068966,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-22,-0.00042024122155281474,29.0,0.41379310344827586,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-23,-0.0054692595919608265,29.0,0.7586206896551724,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-24,-0.001135521052838089,29.0,0.5862068965517241,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-25,-0.0009264701410557015,29.0,0.5862068965517241,,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-26,-0.0010915813482681638,29.0,0.4827586206896552,0.0051738823434429385,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-29,-0.0035216768004141374,29.0,0.5862068965517241,0.004943862878225482,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-30,0.005854503201750748,29.0,0.2413793103448276,0.004748030041327361,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-01-31,0.012865917608217137,29.0,0.1724137931034483,0.005058320621449876,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-01,0.006459945153095158,29.0,0.1724137931034483,0.006261482178870569,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-02,0.006631211577034185,29.0,0.3103448275862069,0.006284492124240921,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-05,0.0023129493515100337,29.0,0.41379310344827586,0.00627870112524184,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-06,0.0031360943876047507,29.0,0.3793103448275862,0.00605020730274135,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-07,0.0038764989169045765,29.0,0.2413793103448276,0.005852072734684665,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-08,0.0013066361247845535,29.0,0.3793103448275862,0.00568420528639856,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-09,0.00046057557939767536,29.0,0.41379310344827586,0.005476373061508745,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-12,0.0004762380188707207,29.0,0.41379310344827586,0.005283260987547265,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-13,-0.0023582400858372,29.0,0.5517241379310345,0.005099377411592618,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-14,-0.004395539742905609,29.0,0.6551724137931034,0.005002351975738909,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-15,0.0034119112045809504,29.0,0.3103448275862069,0.005015294700867228,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-16,0.0006248651346715993,29.0,0.4827586206896552,0.004898789330529794,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-19,-0.00189786330684196,29.0,0.5172413793103449,0.004733991147249274,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-20,0.0027384321138686964,29.0,0.4482758620689655,0.004623615499192537,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-21,-0.0055044696870776835,29.0,0.7241379310344828,0.004504289363154804,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-23,-0.004960459176663179,29.0,0.5517241379310345,0.0046224849155403385,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-26,-0.0028354930454362343,29.0,0.6551724137931034,0.004659190834625655,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-27,0.0004975212340428551,29.0,0.3793103448275862,0.004562512207221137,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
1962-02-28,-0.000822805897437878,29.0,0.4482758620689655,0.004420547155897626,,,,80.0,,0.0,0.7250000000000001,0.125,0.675,0.275,,,,,,,,,,,40,
